calexp_path,calexp_fwhm,coadd_fwhm,tract,patch,visit,detector,filter,diffexp_path,diaSrc_path
./data/patch_0to6/injection/55_20_21_421727_149_i/fake_20/calexp/00421727-i/R33/calexp_00421727-i-R33-S12-det149.fits,3.9732428566284153,4.089752374672761,4639,"5,5",421727,149,i,./data/patch_0to6/diff/al_default_v23/55_20_21_421727_149_i/diff_20/deepDiff/v00421727-fi/R33/diffexp_00421727-i-R33-S12-det149.fits,./data/patch_0to6/diff/al_default_v23/55_20_21_421727_149_i/diff_20/deepDiff/v00421727-fi/R33/diaSrc_00421727-i-R33-S12-det149.fits
./data/patch_0to6/injection/66_20_21_767014_34_i/fake_20/calexp/00767014-i/R10/calexp_00767014-i-R10-S21-det034.fits,3.3727147471878514,4.114422322054011,4639,"6,6",767014,34,i,./data/patch_0to6/diff/al_default_v23/66_20_21_767014_34_i/diff_20/deepDiff/v00767014-fi/R10/diffexp_00767014-i-R10-S21-det034.fits,./data/patch_0to6/diff/al_default_v23/66_20_21_767014_34_i/diff_20/deepDiff/v00767014-fi/R10/diaSrc_00767014-i-R10-S21-det034.fits
./data/patch_0to6/injection/55_20_21_478974_93_i/fake_20/calexp/00478974-i/R22/calexp_00478974-i-R22-S10-det093.fits,3.899482301296959,4.089752374672761,4639,"5,5",478974,93,i,./data/patch_0to6/diff/al_default_v23/55_20_21_478974_93_i/diff_20/deepDiff/v00478974-fi/R22/diffexp_00478974-i-R22-S10-det093.fits,./data/patch_0to6/diff/al_default_v23/55_20_21_478974_93_i/diff_20/deepDiff/v00478974-fi/R22/diaSrc_00478974-i-R22-S10-det093.fits
./data/patch_0to6/injection/00_20_21_906936_117_i/fake_20/calexp/00906936-i/R30/calexp_00906936-i-R30-S00-det117.fits,3.733303331093745,4.0797978669175246,4639,"0,0",906936,117,i,./data/patch_0to6/diff/al_default_v23/00_20_21_906936_117_i/diff_20/deepDiff/v00906936-fi/R30/diffexp_00906936-i-R30-S00-det117.fits,./data/patch_0to6/diff/al_default_v23/00_20_21_906936_117_i/diff_20/deepDiff/v00906936-fi/R30/diaSrc_00906936-i-R30-S00-det117.fits
./data/patch_0to6/injection/00_20_21_682811_5_i/fake_20/calexp/00682811-i/R01/calexp_00682811-i-R01-S12-det005.fits,3.57448133401954,4.0797978669175246,4639,"0,0",682811,5,i,./data/patch_0to6/diff/al_default_v23/00_20_21_682811_5_i/diff_20/deepDiff/v00682811-fi/R01/diffexp_00682811-i-R01-S12-det005.fits,./data/patch_0to6/diff/al_default_v23/00_20_21_682811_5_i/diff_20/deepDiff/v00682811-fi/R01/diaSrc_00682811-i-R01-S12-det005.fits
./data/patch_0to6/injection/44_20_21_929472_40_i/fake_20/calexp/00929472-i/R11/calexp_00929472-i-R11-S11-det040.fits,4.40078166452029,4.097523832080805,4639,"4,4",929472,40,i,./data/patch_0to6/diff/al_default_v23/44_20_21_929472_40_i/diff_20/deepDiff/v00929472-fi/R11/diffexp_00929472-i-R11-S11-det040.fits,./data/patch_0to6/diff/al_default_v23/44_20_21_929472_40_i/diff_20/deepDiff/v00929472-fi/R11/diaSrc_00929472-i-R11-S11-det040.fits
./data/patch_0to6/injection/33_20_21_478975_112_i/fake_20/calexp/00478975-i/R24/calexp_00478975-i-R24-S11-det112.fits,3.9188877506508466,4.074981493642976,4639,"3,3",478975,112,i,./data/patch_0to6/diff/al_default_v23/33_20_21_478975_112_i/diff_20/deepDiff/v00478975-fi/R24/diffexp_00478975-i-R24-S11-det112.fits,./data/patch_0to6/diff/al_default_v23/33_20_21_478975_112_i/diff_20/deepDiff/v00478975-fi/R24/diaSrc_00478975-i-R24-S11-det112.fits
./data/patch_0to6/injection/11_20_21_211472_122_i/fake_20/calexp/00211472-i/R30/calexp_00211472-i-R30-S12-det122.fits,4.029072553455172,4.082986137171966,4639,"1,1",211472,122,i,./data/patch_0to6/diff/al_default_v23/11_20_21_211472_122_i/diff_20/deepDiff/v00211472-fi/R30/diffexp_00211472-i-R30-S12-det122.fits,./data/patch_0to6/diff/al_default_v23/11_20_21_211472_122_i/diff_20/deepDiff/v00211472-fi/R30/diaSrc_00211472-i-R30-S12-det122.fits
./data/patch_0to6/injection/22_20_21_478928_126_i/fake_20/calexp/00478928-i/R31/calexp_00478928-i-R31-S00-det126.fits,3.8146175547391405,4.07859862017242,4639,"2,2",478928,126,i,./data/patch_0to6/diff/al_default_v23/22_20_21_478928_126_i/diff_20/deepDiff/v00478928-fi/R31/diffexp_00478928-i-R31-S00-det126.fits,./data/patch_0to6/diff/al_default_v23/22_20_21_478928_126_i/diff_20/deepDiff/v00478928-fi/R31/diaSrc_00478928-i-R31-S00-det126.fits
./data/patch_0to6/injection/33_20_21_976371_157_i/fake_20/calexp/00976371-i/R34/calexp_00976371-i-R34-S11-det157.fits,4.130700363203415,4.074981493642976,4639,"3,3",976371,157,i,./data/patch_0to6/diff/al_default_v23/33_20_21_976371_157_i/diff_20/deepDiff/v00976371-fi/R34/diffexp_00976371-i-R34-S11-det157.fits,./data/patch_0to6/diff/al_default_v23/33_20_21_976371_157_i/diff_20/deepDiff/v00976371-fi/R34/diaSrc_00976371-i-R34-S11-det157.fits
./data/patch_0to6/injection/00_20_21_174602_82_i/fake_20/calexp/00174602-i/R21/calexp_00174602-i-R21-S01-det082.fits,3.76257880057392,4.0797978669175246,4639,"0,0",174602,82,i,./data/patch_0to6/diff/al_default_v23/00_20_21_174602_82_i/diff_20/deepDiff/v00174602-fi/R21/diffexp_00174602-i-R21-S01-det082.fits,./data/patch_0to6/diff/al_default_v23/00_20_21_174602_82_i/diff_20/deepDiff/v00174602-fi/R21/diaSrc_00174602-i-R21-S01-det082.fits
./data/patch_0to6/injection/33_20_21_1229686_47_i/fake_20/calexp/01229686-i/R12/calexp_01229686-i-R12-S02-det047.fits,4.06199613114322,4.074981493642976,4639,"3,3",1229686,47,i,./data/patch_0to6/diff/al_default_v23/33_20_21_1229686_47_i/diff_20/deepDiff/v01229686-fi/R12/diffexp_01229686-i-R12-S02-det047.fits,./data/patch_0to6/diff/al_default_v23/33_20_21_1229686_47_i/diff_20/deepDiff/v01229686-fi/R12/diaSrc_01229686-i-R12-S02-det047.fits
./data/patch_0to6/injection/22_20_21_227891_181_i/fake_20/calexp/00227891-i/R43/calexp_00227891-i-R43-S01-det181.fits,3.5651479257831813,4.07859862017242,4639,"2,2",227891,181,i,./data/patch_0to6/diff/al_default_v23/22_20_21_227891_181_i/diff_20/deepDiff/v00227891-fi/R43/diffexp_00227891-i-R43-S01-det181.fits,./data/patch_0to6/diff/al_default_v23/22_20_21_227891_181_i/diff_20/deepDiff/v00227891-fi/R43/diaSrc_00227891-i-R43-S01-det181.fits
./data/patch_0to6/injection/22_20_21_428527_16_i/fake_20/calexp/00428527-i/R02/calexp_00428527-i-R02-S21-det016.fits,5.020654077031331,4.07859862017242,4639,"2,2",428527,16,i,./data/patch_0to6/diff/al_default_v23/22_20_21_428527_16_i/diff_20/deepDiff/v00428527-fi/R02/diffexp_00428527-i-R02-S21-det016.fits,./data/patch_0to6/diff/al_default_v23/22_20_21_428527_16_i/diff_20/deepDiff/v00428527-fi/R02/diaSrc_00428527-i-R02-S21-det016.fits
